date_range,current_date,description,compatibility,mood,color,lucky_number,lucky_time,sign
Jan 20 - Feb 18,"July 11, 2022","They may be hundreds or even thousands of miles away -- but once you hear their voice, you'll be willing to swear that you can smell their cologne. Keep it light and pleasant -- as you always do -- and you'll get your wish. Soon.",Virgo,Hopeful,Purple,91,10am,aquarius
Jun 22 - Jul 22,"July 11, 2022","You probably hadn't planned on having a confidential meeting (okay, let's call it what it may be -- a tryst) but that's what's coming up, and soon. Be bold. Make the arrangements yourself. Wouldn't room service be nice?",Gemini,Sweet,Brown,72,7pm,cancer
Oct 23 - Nov 22,"July 11, 2022","You're quite capable of convincing anyone of anything now, but be careful. If you know you can't come through on that earnest promise, don't make it. It's important to keep your promises.",Cancer,Honest,Orange,86,5pm,scorpio
Feb 19 - Mar 20,"July 11, 2022",Prepare to wreak havoc upon your phone bill. You're already reminiscing fondly about the good old days. What you really need now is to have a chat with someone who was there.,Aries,Moody,Orchid,41,9pm,pisces
Mar 21 - Apr 20,"July 12, 2022","You're not famous for being patient, but if you can force yourself to wait just a little while, everything will work out just fine. Keep yourself occupied in the meantime.",Sagittarius,Patient,Peach,75,8pm,aries
Jul 23 - Aug 22,"July 12, 2022","It's the perfect astrological weather for simply being you. To celebrate, you've decided to do something lavish, extravagant and totally excessive. Don't be shocked if no one who knows you seems particularly surprised.",Taurus,Crazy,Copper,44,2am,leo
Nov 23 - Dec 21,"July 12, 2022","After days of rummaging through your subconscious in private, trying to figure out what's really provoking you to act like this, you've finally arrived at a conclusion. Don't be afraid to share it with all parties concerned.",Virgo,Dreamy,Red,94,10am,sagittarius
Apr 21 - May 20,"July 12, 2022","You're preparing to say what's been on your mind for some time. You won't feel like being diplomatic, but if you don't want to burn this bridge permanently, at least give it a try.",Scorpio,Truthful,Shadow Black,42,5am,taurus
Aug 23 - Sep 22,"July 12, 2022","Authority figures will be more than happy to see things your way, provided you can present your case in stunning style. Fortunately, that won't be a problem. You know your stuff. Act like it.",Capricorn,Leading,Teal,33,11pm,virgo
Dec 22 - Jan 19,"July 12, 2022","After days of doing nothing, it's time to get back to work. Finally. Don't deny that you were almost relieved when your alarm went off -- and don't forget that you're entitled to a relaxing dinner.",Taurus,Relaxed,Sky Blue,9,8am,capricorn
May 21 - Jun 21,"July 12, 2022","You're in the mood to hibernate, but it won't last forever. A wonderful, lavish display of emotions could be on the agenda as soon as tonight, so resting up certainly wouldn't hurt. Nap, anyone?",Aries,Relaxed,Teal,5,8pm,gemini
Sep 23 - Oct 22,"July 12, 2022","Try to keep the green-eyed monster at bay. Overreacting now won't help anything. If it's your lovebug who's feeling threatened, do what you can to set their mind at ease.",Aries,Cautious,Pink,49,11pm,libra
Jan 20 - Feb 18,"July 12, 2022","There's an awful lot on your dance card these days whether you know about it now or not. Better keep all your plans flexible, and avoid making reservations -- or promises.",Libra,Social,Orchid,9,9pm,aquarius
Jun 22 - Jul 22,"July 12, 2022","There will undoubtedly be intrigue on the agenda, whether or not you mean for it to happen. It's fun to share secrets -- especially the exciting kind. Invite someone along who's also in the mood to whisper.",Leo,Truthful,Yellow,81,5pm,cancer
Oct 23 - Nov 22,"July 12, 2022","Just when you thought you'd be able to get back to work and resume your routine, someone you haven't seen in a long time will reappear, asking for much more than a few minutes. So much for self-discipline.",Taurus,Refreshed,Spring Green,46,2pm,scorpio
Feb 19 - Mar 20,"July 12, 2022","Most of the time, you have a battle plan -- at least one. Now, however, you'll be operating totally on impulse, and loving every minute of it. Just try to be a tiny bit careful. A tiny bit.",Sagittarius,Cautious,Rose Pink,87,12am,pisces
Mar 21 - Apr 20,"July 13, 2022","An especially sensual secret has just been confided in you, and you know at least three people who'd just love to know all about it. Fortunately for your confidante, you'd rather have a root canal than betray them.",Libra,Cherishing,Yellow,66,11pm,aries
Jul 23 - Aug 22,"July 13, 2022","It's time to get up close and personal -- your favorite state of affairs. If you've got several attractive offers to choose from, you may need to do a bit of juggling. Gosh. Tough to be you, huh?",Scorpio,Creative,Red,87,8am,leo
Nov 23 - Dec 21,"July 13, 2022",Picture the last thing on earth you'd ever expect. Now expect it -- under the category of 'pleasant surprises.' That's on the list of what might be coming along for you. Just remember: there's no such thing as a coincidence.,Taurus,Surprised,Orange,1,8am,sagittarius
Apr 21 - May 20,"July 13, 2022","Today's astrological buffet looks extremely promising once again, most especially when it comes to romance. Forget about getting to bed early. You can't ignore the invitation you're about to receive.",Leo,Sweet,Copper,46,5pm,taurus
Aug 23 - Sep 22,"July 13, 2022","It's tough getting back to work today, but for some reason, you're in the mood. Maybe it's because there's someone out there you're trying to impress. Not to worry. It's going to work -- and soon, too.",Libra,Attractive,Gold,56,7am,virgo
Dec 22 - Jan 19,"July 13, 2022","You're in the mood to shop, and you've tucked your checkbook, your ATM and every piece of plastic you could possibly find with your name on it into your wallet. Sounds dangerous! Bring along a friend to restrain you.",Leo,Conservative,Blue,4,1am,capricorn
May 21 - Jun 21,"July 13, 2022","Get together with your dear ones and treat them to something especially delightful. It doesn't have to be big, either: think gourmet ice cream, a concert or their favorite video. Think of this as a 'quality vs. quantity' kind of moment.",Sagittarius,Joyful,Copper,78,12am,gemini
Sep 23 - Oct 22,"July 13, 2022","You're not frivolous with money. Extravagant, maybe, when you're after quality, but certainly not frivolous. So you may be a bit taken aback by the way you're feeling today. Your best bet is to avoid sales. You up for it?",Gemini,Conservative,Pink,84,3am,libra
Jan 20 - Feb 18,"July 13, 2022","A major change is on the menu for work -- a really positive one. You've been carefully watched by the powers that be for some time now, and they're well pleased with what they saw. Congrats.",Aries,Successful,Teal,24,12pm,aquarius
Jun 22 - Jul 22,"July 13, 2022","You'll wake up in the mood to be with your friends -- the tried-and-true ones. Don't deny yourself the pleasure of their company. Even if it's been a long time, remember they want to see you, too.",Capricorn,Refreshed,Yellow,45,4am,cancer
Oct 23 - Nov 22,"July 13, 2022","The determination behind each and every word you utter will be obvious to everyone you come into contact with. That means no one will doubt you, not for an instant -- least of all yourself.",Pisces,Confidence,Yellow,64,3am,scorpio
Feb 19 - Mar 20,"July 13, 2022","Now it's time to work even harder, and you'll have some multitasking to do if you expect to get out on time. You can do it. If anyone can prioritize, it's you.",Aries,Busy,Yellow,17,10pm,pisces
Mar 21 - Apr 20,"July 14, 2022","The urge to let it all hang out and tell someone your deepest, darkest secrets will be just about irresistible now, so why fight it? Just be sure you're talking to the right person. The one you can trust.",Capricorn,Truthful,Spring Green,21,2am,aries
Jul 23 - Aug 22,"July 14, 2022","You may have tentative plans for tonight, but you'll cancel them in a heartbeat -- especially when and if something better comes along. Don't feel guilty about it. It's your time.",Pisces,Busy,Red,77,11pm,leo
Nov 23 - Dec 21,"July 14, 2022","There's some change on the menu, but you'll be responsible for it, so you won't have a hard time adapting. You'll need to do some fancy footwork when it's time to let others know what's going on.",Libra,Responsible,Red,56,8pm,sagittarius
Apr 21 - May 20,"July 14, 2022","There, now. That's better. You've taken a bit of a break from both work and romance just in time to charge up your batteries. Good thinking. How about visiting your family while you're getting revitalized?",Aries,Refreshed,Silver,77,7pm,taurus
Aug 23 - Sep 22,"July 14, 2022","You've suddenly had a great idea -- a terrific idea, in fact. You're sure that this is the stuff that expensive patents are made of. How about looking up a backer?",Gemini,Successful,Silver,70,10am,virgo
Dec 22 - Jan 19,"July 14, 2022","As of late this afternoon, your emotions will quite literally be written all over your face. With the company you've been keeping lately, however, you won't have to worry about it.",Sagittarius,Relieved,Brown,47,6pm,capricorn
May 21 - Jun 21,"July 14, 2022","Family matters (especially the secretive ones) will be confusing, to say the least. Does this mean you should let some folks in on small secrets, and others in on the big ones? Nope. Means you should just keep quiet.",Pisces,Quiet,Peach,84,5am,gemini
Sep 23 - Oct 22,"July 14, 2022","Just when you thought it was safe to come out as long as you left your wallet home, someone you meet under completely coincidental circumstances will present you with a 'great' deal. Don't be taken in. Do your homework first.",Virgo,Cautious,Blue,30,4am,libra
Jan 20 - Feb 18,"July 14, 2022",Tired of hearing about romance? Bet you're not. You're the most romantic sign in the heavens. So hearing that more tender times are coming up -- probably for at least the next month -- won't break your heart. Enjoy!,Capricorn,Sweet,Gold,21,1pm,aquarius
Jun 22 - Jul 22,"July 14, 2022",Still racing around wondering which of the seven major projects you should finish first? Of course you are. It's just your nature. Starting with the first one seems logical -- but go with the flow instead.,Capricorn,Accomplished,Brown,57,8pm,cancer
Oct 23 - Nov 22,"July 14, 2022","Getting used to the new pace of your day? Bet you are -- and that you're loving it. It might be time to start planning a celebration. After all, who knows better how to organize a party than you?",Pisces,Social,Blue,90,6pm,scorpio
Feb 19 - Mar 20,"July 14, 2022","Your love life will be far from routine, and you're quite ready to brag about it. Try not to let go of any details that might embarrass someone else, especially if they're not ready for public consumption.",Virgo,Pleased,Shadow Black,21,8am,pisces
