date_range,current_date,description,compatibility,mood,color,lucky_number,lucky_time,sign
Jul 23 - Aug 22,"August 19, 2022","This will not be a boring day. Startling, maybe. Unsettling, for sure. But definitely not boring. But don't worry that it will be negative, either -- this could even end up being the day a major love arrives. Get dressed.",Capricorn,Sweet,Teal,19,6am,leo
Nov 23 - Dec 21,"August 19, 2022","Ever hear about how tough it is to keep quiet when you're wearing your heart on your sleeve? Think you could definitely manage it, no matter what's going on? Hope you were right. Check out your sleeve.",Taurus,Confidence,Gold,11,6am,sagittarius
Apr 21 - May 20,"August 19, 2022","That matter-of-fact way you have of expressing anything and everything you're thinking? It's not going anywhere. In fact, you might want to try tempering your rhetoric with some emotion.  Just so they'll know you really do care.",Scorpio,Truthful,Red,21,9pm,taurus
Aug 23 - Sep 22,"August 19, 2022","Is it love? It sure will feel like it. You're set up for a sudden infatuation -- and you'll feel it within seconds. This doesn't mean it's not legit, but waiting a few days to book that Vegas chapel certainly couldn't hurt.",Gemini,Patient,Purple,92,8pm,virgo
Dec 22 - Jan 19,"August 19, 2022","About that giant leap toward closeness you're considering? You might not be ready to make a decision, which you'll recognize by the way you hesitate every time they get close enough for you to see their eyelashes. There's no need to rush.",Cancer,Patient,Purple,63,10am,capricorn
May 21 - Jun 21,"August 19, 2022","You're ready to take up arms and fight for your favorite cause, and there's not much you'll stop at to make sure you get the results you want. Whether defending a person or an issue, you'll do whatever it takes to win. You go!",Capricorn,Aggressive,Navy Blue,3,2am,gemini
Sep 23 - Oct 22,"August 19, 2022","Don't let anyone compromise your integrity with a whisper -- and don't feel obligated to be polite if they try. You have a very strict code of ethics, and you shouldn't allow anyone to violate it.",Aries,Stubborn,Red,8,11am,libra
Jan 20 - Feb 18,"August 19, 2022","Suddenly, surprisingly and when you least expect it, an extremely genuine emotion will escape your lips. It's not that you're not used to genuine emotions -- but a little more warning would have been nice.",Virgo,Patient,Pink,78,4pm,aquarius
Jun 22 - Jul 22,"August 19, 2022",A startling message -- and we're talking quite startling -- will jolt you out of that rut you've been in and get you looking toward the future. Don't be scared. This is the opportunity you've been waiting for. Welcome it with open arms.,Leo,Aggressive,Orchid,23,7am,cancer
Oct 23 - Nov 22,"August 19, 2022","Don't wait for them to contact you -- even if that seems to be the right thing to do. You have something to say, a very big something, and you've been waiting for far too long already.",Taurus,Energetic,Gold,63,9pm,scorpio
Feb 19 - Mar 20,"August 19, 2022",You'll have all the personal drive you need to take whatever the universe offers you -- just be sure not to get too carried away. There's something to be said for leaving a little something for later.,Libra,Patient,Silver,8,5am,pisces
Mar 21 - Apr 20,"August 20, 2022","Just when you thought things were settling down a bit, the universe has arranged for an extremely romantic day. The fun will likely start bright and early this morning. Don't be surprised if you have to gulp your morning coffee.",Pisces,Sweet,Rose Pink,69,5am,aries
Jul 23 - Aug 22,"August 20, 2022","Wandering around in a daze? If you are, it's probably not for entirely unpleasant reasons. You may be wondering what happened to you, but between all that grinning and sighing, you won't get too much sympathy.",Aries,Dreamy,Yellow,85,9pm,leo
Nov 23 - Dec 21,"August 20, 2022","You've probably decided how to adjust to this barrage of emotions the universe has tossed your way: By pretending they're not there. Well, it won't work. You can't deny them, and even if you could, why would you want to?",Leo,Truthful,Orange,8,7am,sagittarius
Apr 21 - May 20,"August 20, 2022","It's not your imagination. They've been staring at you, and you've been staring back. Think about all those secret smiles you two have exchanged over the past few weeks. It's time to take this thing out for a test-ride.",Scorpio,Truthful,Peach,51,1pm,taurus
Aug 23 - Sep 22,"August 20, 2022","Go ahead, get out there and do some serious shopping. You've earned the right, after being frugal for all this time - a virtue that you're not often able to add to your list of credits.",Sagittarius,Productive,Orchid,71,2pm,virgo
Dec 22 - Jan 19,"August 20, 2022","One never knows what might come along during your workday, but there's no cause for alarm. Powerful friends -- the kind you cultivated for the purest of motives -- will be only too happy to help you handle whatever comes along.",Aries,Lucky,Rose Pink,6,8am,capricorn
May 21 - Jun 21,"August 20, 2022","To say that today might be startling won't quite cover it. Shocking, maybe, and totally unexpected, for certain. Regardless of how it works out, use your innate gift for adapting to any situation to help the rest of us. We'll need it.",Taurus,Calm,Sky Blue,81,9pm,gemini
Sep 23 - Oct 22,"August 20, 2022","Thinking about far-off places and distant friends? Well, why just think about them? Whether you play host or decide to go for a visit, it's time to close the distance between you and where you want to be.",Gemini,Generous,Sky Blue,97,7am,libra
Jan 20 - Feb 18,"August 20, 2022","For the next nine weeks, chatty Mercury will inspire you to be even more talkative than usual. Yes, that's really saying something, and no, it won't matter if you're chatting with old friends or new.",Capricorn,Talkative,Spring Green,93,10pm,aquarius
Jun 22 - Jul 22,"August 20, 2022","An authority figure you've been having rough times with is about to reveal something: they've been on your side all along. You may have had your speculations about them lately, but won't it be nice to know for sure?",Virgo,Truthful,Orchid,18,4am,cancer
Oct 23 - Nov 22,"August 20, 2022","For the first time in a long time, you're not hesitating when it comes to making the first move. You definitely won't be alone this weekend, and you won't be shy. Go ahead -- say exactly what's in your heart.",Cancer,Brave,Shadow Black,34,8pm,scorpio
Feb 19 - Mar 20,"August 20, 2022","Someone you love will make quite the startling revelation. Funny thing is, you've not only been expecting it, you've been eagerly anticipating it. So will you be better prepared to deal with it than others who are as deeply involved? Yep.",Gemini,Confidence,Rose Pink,15,6am,pisces
Mar 21 - Apr 20,"August 21, 2022","It's all good -- so no matter who you're dealing with, don't worry about any significant problems with them. Even if a 'situation' comes up, you'll be more than able to handle it, to the happy satisfaction of all parties concerned.",Libra,Thoughtful,Teal,66,2pm,aries
Jul 23 - Aug 22,"August 21, 2022","As of this evening, you'll be thinking specifically about one person -- just the one. You may need to spend your time with others, or be duty-bound to take care of responsibilities, but your mind won't be there.",Aquarius,Dreamy,Spring Green,76,10am,leo
Nov 23 - Dec 21,"August 21, 2022","Suddenly dreaming about shopping, even though you've got everything you need? Well, why deprive yourself? No one has absolutely every little thing. Paperclips? Bookends? There's got to be something you can use for an excuse.",Gemini,Creative,Navy Blue,22,2am,sagittarius
Apr 21 - May 20,"August 21, 2022","Not one word that emerges from your mouth will get there without lots and lots of thought on your part. So if anyone should be foolish enough to question you, they'll be silenced in quite rapid order.",Scorpio,Confidence,Shadow Black,13,10pm,taurus
Aug 23 - Sep 22,"August 21, 2022","It's time to pull back, to let others know that you're not a soft touch - at least, not as soft as they thought. In the meantime, standing your ground and actually saying no is a good place to start.",Aquarius,Stubborn,Sky Blue,50,3am,virgo
Dec 22 - Jan 19,"August 21, 2022","Promises made now will be promises kept. No doubt about it. So when -- not if -- a dear one assures you that they'll keep their word, no matter what the issue happens to be, you won't need to doubt them.",Pisces,Sweet,Blue,24,5am,capricorn
May 21 - Jun 21,"August 21, 2022","An older or more experienced friend will be eager to help you out of a tight spot. Regardless of how you feel about accepting assistance, you really should allow them, just this once, to do it for you. It's your turn to be pampered.",Cancer,Lucky,Copper,1,11am,gemini
Sep 23 - Oct 22,"August 21, 2022","It may suddenly be tougher to keep those plans you made. But considering the determination you are famous for, if there's anyone who can pull a rabbit out of a hat like this one, it's you.",Leo,Charming,Copper,64,11am,libra
Jan 20 - Feb 18,"August 21, 2022","Family members will go out of their way to help you become accustomed to recent unexpected events, and your gratitude will know no bounds. Don't be shy about expressing it.",Aries,Grateful,Pink,86,5pm,aquarius
Jun 22 - Jul 22,"August 21, 2022","This is a day that's been earmarked for exciting new beginnings of the most delightful kind. Ready or not, the heavens have arranged a buffet of startling events. Better cancel any plans you'd made that aren't written in stone.",Libra,Serious,Red,54,10pm,cancer
Oct 23 - Nov 22,"August 21, 2022","Romantically speaking, there could be a couple of roadblocks for you to overcome now -- but only if you let them get in the way. If anyone can think and plan their way out of a dilemma, it's you. Get busy.",Sagittarius,Mellow,Navy Blue,3,4pm,scorpio
Feb 19 - Mar 20,"August 21, 2022","You're not usually much for staying in. Socializing with friends is the name of the game. At the moment, however, regardless of the fact that there is an appointment on your calendar, you're in the mood to stay in and get comfy. Why fight it?",Leo,Moody,Blue,20,12am,pisces
Mar 21 - Apr 20,"August 23, 2022","Feel like something major is en route? Well, you're right. You may feel as if you're stalled or stuck in a rut at the moment, but not to worry. That won't be the case for long.",Pisces,Hopeful,Yellow,46,9am,aries
Jul 23 - Aug 22,"August 23, 2022","Somewhere between lunch and dinner, your focus will shift from simply trying to get along to actually sharing something of yourself on a very deep level -- and you'll be ready to do whatever it takes to ensure that happens.",Sagittarius,Truthful,Purple,55,4am,leo
Nov 23 - Dec 21,"August 23, 2022","Your thoughts will turn to kindler, gentler subjects tonight -- things like romance, snuggling up and holding hands across the table. Fortunately, you won't be the only person in the vicinity thinking along those lines.",Gemini,Sweet,Peach,27,6pm,sagittarius
Apr 21 - May 20,"August 23, 2022","You're not unfamiliar with the concept of fighting for what you believe in, a skill that will come in handy now. If you've got something to say to someone who's been throwing their weight around, you'll have no problem. None at all.",Libra,Calm,Silver,81,3pm,taurus
Aug 23 - Sep 22,"August 23, 2022","You were honorary class clown for years, but lately your personality has been intensifying -- and your friends are probably a bit confused by it. You'll be more like your old self today, though: the life of the party.",Capricorn,Social,Orange,59,3am,virgo
Dec 22 - Jan 19,"August 23, 2022","Once again, you'll have to find a happy medium between someone's extreme pessimism and your eagerness to make changes. Fortunately, you're the most cerebral sign out there, so the decision you make will be an intelligent, well-informed one.",Aquarius,Smart,Teal,94,4pm,capricorn
May 21 - Jun 21,"August 23, 2022","You've just begun to realize how important it really is to keep that secret under wraps. So rather than just being irritated with someone who's kidding around about talking, put your foot down. Tell them that's not acceptable -- but not why.",Sagittarius,Stubborn,Yellow,99,1pm,gemini
Sep 23 - Oct 22,"August 23, 2022",A higher-up who's been acting rather strangely is finally ready to talk with you about what's been going on. It's up to you to ask the questions that will get you the answers you need. Prepare yourself.,Aries,Aggressive,Teal,57,6am,libra
Jan 20 - Feb 18,"August 23, 2022","Yesterday's rather tense events could be repeated today, if you're not careful -- so be careful. Turn that watchfulness to all categories of your life, but especially any issues that boil down to family vs. career.",Scorpio,Cautious,Gold,79,11pm,aquarius
Jun 22 - Jul 22,"August 23, 2022","You may be in the mood to hibernate. But if you don't want to do it alone -- don't! Invite a friend over for a video and a pizza. Remember, you can still have your privacy without becoming a recluse.",Pisces,Peaceful,Peach,95,12pm,cancer
Oct 23 - Nov 22,"August 23, 2022","Got something romantic to share? Wait until later tonight to let the news fly. Not that it won't be welcome, whenever you mention it. But the later you reveal your feelings, the more accommodating your audience will be.",Pisces,Sweet,Pink,87,10am,scorpio
Feb 19 - Mar 20,"August 23, 2022",That secret you were hoping to hold onto forever? Looks like it won't be quite that long before it emerges. Don't get too worked up about it. It might be best to let this one see the light of day.,Libra,Truthful,Copper,22,3am,pisces
Mar 21 - Apr 20,"August 24, 2022","Get ready,  because there's some exciting stuff en route. For starters, all those thoughts you've been having about a faraway place, even if they're not conscious, are coming to a head. You definitely need a change of scenery.",Sagittarius,Curious,Orchid,74,1pm,aries
Jul 23 - Aug 22,"August 24, 2022","This may be a tricky day when it comes to letting your real feelings be known. But once you've navigated it, you'll be more than ready to tell the world exactly how you feel -- it's really a small price to pay.",Aries,Relieved,Purple,54,2am,leo
Nov 23 - Dec 21,"August 24, 2022","Reckless? Unfettered? Ready to take a chance? You bet you are -- and you'll have no problem finding someone to take a chance with you. Getting them over their shock that you're asking, however, is another thing.",Aquarius,Aggressive,Brown,69,6am,sagittarius
Apr 21 - May 20,"August 24, 2022","You're concerned with one thing, and one thing only: the happiness and welfare of those you love. They're obviously a special crowd to start with -- or you wouldn't love them -- and will be more than willing to show you their appreciation.",Sagittarius,Thoughtful,Spring Green,30,2pm,taurus
Aug 23 - Sep 22,"August 24, 2022","It may be tough to find the line between your own emotions and what others are feeling right now. In fact, it's going to take some work on your part. But be sure you do whatever it takes to strike that balance.",Pisces,Aggressive,Rose Pink,89,10am,virgo
Dec 22 - Jan 19,"August 24, 2022","A long-distance locale is calling to you -- or would it be more accurate to say that it's shouting at you? Why keep waiting? It sure is time for a break in the action, so get planning.",Aries,Relaxed,Copper,58,7am,capricorn
May 21 - Jun 21,"August 24, 2022","After one more day, you'll be able to open up and express your feelings -- but you may not want to. So if someone seems to be pushing you to step into the spotlight before you're ready, refuse. With no apologies.",Taurus,Cool,Pink,84,7pm,gemini
Sep 23 - Oct 22,"August 24, 2022","Here it comes again: change. Sudden change. This time out, it's going to arrive courtesy of a friend you've been wondering about for a while. Are they really who they seem to be, or just a fair-to-middling actor?",Aries,Refreshed,Copper,62,11pm,libra
Jan 20 - Feb 18,"August 24, 2022","Once again, you're focused on your sweetheart, who may be feeling a bit neglected after all the time you've spent lately worrying about other matters. Return your attention to where it belongs right now -- in your usual charming fashion.",Cancer,Thoughtful,Sky Blue,44,10pm,aquarius
Jun 22 - Jul 22,"August 24, 2022","Forget about whatever you had planned, because it just won't turn out the way you thought it would, no matter how hard you try. The good news is that once the unexpected arrives, you'll be glad it did.",Aries,Lucky,Blue,31,1am,cancer
Oct 23 - Nov 22,"August 24, 2022","Still in the mood for candlelight and roses? Good. The object of your affection is, too.  If it's not Saturday, pretend it is, and don't worry about staying up too late. This is an important emotion you're trying to convey. Forget time, place and anything else that might interfere.",Gemini,Sweet,Teal,0,11pm,scorpio
Feb 19 - Mar 20,"August 24, 2022","Yesterday's tension will have all but dissolved by the time you're up and about this morning, and there's really no reason to worry about it happening again. Not now, anyway. Enjoy a day off from drama.",Cancer,Relieved,Yellow,93,7am,pisces
Mar 21 - Apr 20,"August 25, 2022","Still can't get those thoughts about sunny beaches and cruise ships out of your mind? Well, why keep resisting? You love your home and your family, but you deserve some recreation. It's time. Make the reservations.",Capricorn,Relaxed,Silver,50,9pm,aries
Jul 23 - Aug 22,"August 25, 2022","After days of feeling unsure where you stand with someone you care about, you're suddenly feeling confident -- and their input has nothing at all to do with it. Good for you. Be yourself and be honest. That's all anyone can ask.",Scorpio,Confidence,Rose Pink,18,9pm,leo
Nov 23 - Dec 21,"August 25, 2022","Now, this is the kind of day that you can live with. The world is finally acting and reacting just the way you wish they would on a regular basis: They're being responsible, practical and disciplined. No more lecturing for a while!",Libra,Accomplished,Blue,13,8am,sagittarius
Apr 21 - May 20,"August 25, 2022","This may not be the kind of day you were expecting -- in fact, there's no way it will be -- but in the end, you'll be tickled with it. Force yourself to adapt to whatever is tossed your way.",Leo,Fun,Silver,62,9pm,taurus
Aug 23 - Sep 22,"August 25, 2022","Don't stop at changing the wallpaper. If you really want to make changes, redo the whole room -- or the whole apartment. That's if you decide that you won't be moving to another country for a few years, of course.",Libra,Creative,Spring Green,46,3pm,virgo
Dec 22 - Jan 19,"August 25, 2022","All kinds of startling things are going on around you, the kinds of things that can change a life in a heartbeat. Fortunately, you're game for change and always have been -- and that's a good thing.",Libra,Curious,Peach,83,4am,capricorn
May 21 - Jun 21,"August 25, 2022","Ready or not, it's all going to pour out of you now. Every emotion, every word, everything you've ever thought you should mention but didn't -- and all to keep the peace. Good for you. Don't feel bad about it.",Libra,Truthful,Red,71,4pm,gemini
Sep 23 - Oct 22,"August 25, 2022",That situation that you're sure you're done with? Now's the time to make it official. Let all parties concerned know that you won't be discussing this again -- then let it go. You can't move on permanently until you've moved on emotionally.,Aries,Relieved,Blue,81,8pm,libra
Jan 20 - Feb 18,"August 25, 2022","Work could be a bit on the confusing side, and there may be some fireworks on the agenda, too. Before they actually occur, take precautions and make sure you have all your facts straight.",Capricorn,Cautious,Silver,22,8pm,aquarius
Jun 22 - Jul 22,"August 25, 2022",Inspiration and hard work -- what a great combination. And that's just what today's new Moon will send your way. You'll be in the mood to work hard and to work alone. Don't let anyone talk you out of it.,Gemini,Diligent,Gold,45,8am,cancer
Oct 23 - Nov 22,"August 25, 2022",Put aside whatever it is that happened the last time someone insisted that you absolutely must meet someone -- even if you're still harping on the memory. Get yourself dressed. It's prime time to meet The One.,Pisces,Charming,Brown,11,4pm,scorpio
Feb 19 - Mar 20,"August 25, 2022","Over the course of the next few days, some rather surprising financial news will arrive. Does this mean you need to worry? Not at all. Ever heard of good surprises? You're due for at least one.",Leo,Surprised,Orchid,72,2am,pisces
Mar 21 - Apr 20,"August 26, 2022","Bright and early, after days of thinking about nothing but what has to be done and when it has to be completed, you're suddenly thinking about fun -- and one particular person to have fun with.  Enjoy it. Guiltlessly.",Leo,Fun,Teal,34,6am,aries
Jul 23 - Aug 22,"August 26, 2022","Just a touch of intensity (okay, maybe more than a touch) will make this the perfect day for you -- mostly because there's romance and permanence in the mix, too. Here comes someone who'll make a big difference in your life.",Aquarius,Loved,Silver,90,9pm,leo
Nov 23 - Dec 21,"August 26, 2022","What you're craving, most of all, is privacy. But no one says you have to have it alone. How about a nice, quiet evening -- after what looks like a hectic day -- with the one person you're comfortable being silent with?",Taurus,Peaceful,Shadow Black,46,1am,sagittarius
Apr 21 - May 20,"August 26, 2022","After weeks of thinking this thing over, you're absolutely ready to have that sit-down chat with someone -- the one you've been trying to put off indefinitely, whether or not you realize it.",Aquarius,Sincere,Silver,95,2am,taurus
Aug 23 - Sep 22,"August 26, 2022","Today's mixed bag of astrological energies will demand that the faint of heart -- a group that does not and has never included you, of course -- duck out early. Try to be gentle on those who fall into that category. It's not their fault.",Gemini,Cautious,Navy Blue,22,11pm,virgo
Dec 22 - Jan 19,"August 26, 2022",Being friendly isn't enough for you now. You want closeness -- real closeness. The kind that lasts forever and ever. The good news is that you're perfectly capable of attaining it. You know what to do. It starts with a smile.,Virgo,Charming,Teal,19,10pm,capricorn
May 21 - Jun 21,"August 26, 2022","Keeping a secret, no matter how tough it may be, is absolutely crucial now. That goes double if it happens to be a romantic secret that you were sure you'd never tell a soul. But isn't it nicer this way?",Taurus,Quiet,Orchid,74,4pm,gemini
Sep 23 - Oct 22,"August 26, 2022","Whatever a certain person is telling you may not be entirely true, but it's definitely what they believe to be true. So even if you have your doubts, at least you won't have to worry about someone deliberately lying to you.",Capricorn,Honest,Navy Blue,89,6am,libra
Jan 20 - Feb 18,"August 26, 2022","Family members and friends you think of as family will take on new, deeper worth to you over the next few days. So when they ask for your opinion, you should certainly give it. But cushioning the blow wouldn't hurt.",Sagittarius,Thoughtful,Blue,6,11pm,aquarius
Jun 22 - Jul 22,"August 26, 2022","That special person you've been playing games with ever since last week? They're still around -- and more than eager to keep the games going. For the long-term, in fact. So don't flirt if you're not serious.",Sagittarius,Cautious,Blue,16,6am,cancer
Oct 23 - Nov 22,"August 26, 2022","This is the perfect astrological weather for your sign. You're ready to make a commitment, to settle down and choose a course of action -- and, for once, everyone else seems to be in the same frame of mind. Celebrate!",Leo,Loved,Orchid,35,10am,scorpio
Feb 19 - Mar 20,"August 26, 2022","An old, dear friend may call -- not looking for help, but wishing they could get you to forget about home, family and anything else that's dragging you down and actually have some fun. Let them do it.",Capricorn,Warm,Sky Blue,29,10pm,pisces
Mar 21 - Apr 20,"August 27, 2022","Here's a great big mixed bag of astrological energies for you. Fortunately, you're up for it, if anyone is. Just don't be impatient if your companions aren't feeling quite so brave. You're tough. They're probably a bit more tender.",Gemini,Patient,Blue,52,6am,aries
Jul 23 - Aug 22,"August 27, 2022","For the next couple of days, absolutely nothing will be more important to you than taking care of the ones you love -- and that might well pertain to one person in particular.",Aries,Cherishing,Copper,61,1am,leo
Nov 23 - Dec 21,"August 27, 2022","Enough with the hibernation. You're all done with hiding out. You have something to say or do, and you won't be able to rest until it's accomplished. So rather than pretending you're not feeling the way you are, express yourself.",Virgo,Truthful,Silver,60,6pm,sagittarius
Apr 21 - May 20,"August 27, 2022","There, now. After days of wondering what to do about that situation that's been hovering in the air at least since last week, the universe has suddenly provided you with a solution. It's about time, too.",Capricorn,Accomplished,Orchid,66,1pm,taurus
Aug 23 - Sep 22,"August 27, 2022","It's no secret that you're a shopping fool. You love nothing more than the smell of sales in the morning. That urge will be even more irresistible now, especially if you've recently been bitten by the love-bug.",Aquarius,Charming,Rose Pink,43,11am,virgo
Dec 22 - Jan 19,"August 27, 2022","Talk about a mixed bag. There's jealousy, permanence and yes, more romance in the air. All at once? Absolutely. Fortunately, relationships are your business, so you're definitely up for it.",Libra,Charming,Orchid,26,9am,capricorn
May 21 - Jun 21,"August 27, 2022","You've never been known for being especially quiet, shy or retiring -- but now? Well, at this moment in time, you'll be more spontaneous and unpredictable than ever. Does this mean you'll set a new record for surprising the masses? Maybe.",Aquarius,Charming,Copper,80,6am,gemini
Sep 23 - Oct 22,"August 27, 2022",There could be someone new coming to work with you -- a certain someone who'll end up meaning a lot more to you than the rest of your coworkers do. So don't worry about the rumors.,Leo,Cherishing,Blue,97,8am,libra
Jan 20 - Feb 18,"August 27, 2022","There are all kinds of energies circulating around upstairs, and you're not quite sure how to act. Well, it's not just you. But since you're far more adaptable to changes like these, offer your help to those who aren't.",Gemini,Energetic,Copper,41,9am,aquarius
Jun 22 - Jul 22,"August 27, 2022","Friends have always been important to you, but an event that comes up quite out of the blue will also prove to you just how dear you are to them. Sounds like it's time for a group hug.",Pisces,Cherishing,Navy Blue,2,2am,cancer
Oct 23 - Nov 22,"August 27, 2022","You're in a multi-tasking frame of mind. You've got so many projects going, in fact, that you're beginning to wonder if you might not actually need to start delegating tasks. Do it!",Aquarius,Energetic,Gold,5,5pm,scorpio
Feb 19 - Mar 20,"August 27, 2022","You have one mission, and one mission only: to decide how best to divorce yourself from the jealousy and resentment around you. However you do it, get rid of the baggage. It's time to live your life, unencumbered.",Taurus,Relieved,Yellow,72,3am,pisces
Mar 21 - Apr 20,"August 28, 2022","Good luck is definitely around you now -- and lots of it. This doesn't mean you should hop on a plane to Vegas, but a lottery ticket wouldn't hurt. One lottery ticket, that is -- which is all it takes to win.",Sagittarius,Lucky,Red,84,11pm,aries
Jul 23 - Aug 22,"August 28, 2022","That closeness you were feeling with a friend could turn to something a lot more personal now, but only if you're willing to talk about it. Could it be actual monogamy? You bet. Wouldn't it be nice to have a steady travel partner?",Scorpio,Quiet,Pink,71,7pm,leo
Nov 23 - Dec 21,"August 28, 2022","As of this evening, you may, once again, be in the mood to snuggle up with someone special at your place. In the meantime, expect a bit of drama -- possibly at work, and most likely because of someone's jealousy.",Capricorn,Happy,Gold,23,11am,sagittarius
Apr 21 - May 20,"August 28, 2022","Still thinking about how much you'd like to make a great big change in your immediate environment? If it's enough to stay put and redecorate, then do it. If not, let your mind wander. What might feel more like 'home?'",Aries,Creative,Peach,38,7pm,taurus
Aug 23 - Sep 22,"August 28, 2022","You already have a wonderfully soothing voice, that's no secret. And now you'll be able to use that voice to help someone feel better. This someone really needs to be soothed. Start talking.",Sagittarius,Thoughtful,Shadow Black,37,10pm,virgo
Dec 22 - Jan 19,"August 28, 2022","Still having those dreams about a far-off place? A cruise ship? The top of the Eiffel Tower? Well, it's been too long since you actually took a vacation, and there's someone you'd like to spend some quality time with. Sounds like the perfect time for a trip.",Aries,Pleasant,Blue,39,5pm,capricorn
May 21 - Jun 21,"August 28, 2022","You'll have a bit of an attitude shift this afternoon, from worrying about who said what to worrying about how it made someone feel. Don't obsess about it -- which would be only too easy now.",Capricorn,Relieved,Peach,44,6am,gemini
Sep 23 - Oct 22,"August 28, 2022","Ever heard the expression about being busier than a one-armed paper hanger? That's you, for yet another day. Not that you'll mind. No one has ever accused you of being lazy, and they certainly won't start now.",Aries,Relaxed,Pink,24,3pm,libra
Jan 20 - Feb 18,"August 28, 2022","Still in the mood to shop? Not for clothes or appliances, but for a new partner? If you're single, go for it. If you're not, give your sweetheart a chance. Suggest some ways to fan the flame that originally brought you together.",Taurus,Hopeful,Rose Pink,88,2pm,aquarius
Jun 22 - Jul 22,"August 28, 2022","You're probably going to be invited out tonight. You know you've been a bit of a homebody lately, so you might not want to go. Don't force yourself. Who wouldn't enjoy coming over to your nest instead?",Virgo,Relaxed,Peach,57,9pm,cancer
Oct 23 - Nov 22,"August 28, 2022","Finish up your chores as early as you possibly can, because by sundown, you won't be interested in doing anything that's not directly related to romance. Yes, really. Yes, you.",Taurus,Sweet,Shadow Black,99,8am,scorpio
Feb 19 - Mar 20,"August 28, 2022","Okay. After all this time spent holding onto a secret you weren't sure you'd ever share with anyone, you're ready to let go. Before you whisper it across the table, though, be sure that all parties concerned feel the same.",Leo,Cautious,Sky Blue,26,9am,pisces
Mar 21 - Apr 20,"August 29, 2022","Later this evening, the phone will ring -- and a voice you haven't heard for quite some time could well be on the other end. Don't even think about ignoring it. This is one message you'll want to hear right away.",Leo,Creative,Spring Green,2,7am,aries
Jul 23 - Aug 22,"August 29, 2022","Your feelings toward a family member, or a friend you consider family, are running on high. Very high. That means you won't even think for a second before you let them know exactly how you're feeling. Easy, now.",Aquarius,Cool,Spring Green,95,8pm,leo
Nov 23 - Dec 21,"August 29, 2022","Shopping? Who, you? Yep, you're in the mood -- and you'll want company. Better take along some sensible company, too. Sensible enough to stop you from buying that motor home, or anything else bigger and more expensive than a toaster.",Pisces,Satisfied,Orange,38,6am,sagittarius
Apr 21 - May 20,"August 29, 2022","You may be feeling a bit on the thoughtful -- and extremely emotional -- side. If your friends are trying to talk you into heading out, but you're really not in the mood, why force yourself? Invite them over. Or not.",Aries,Mellow,Rose Pink,96,2pm,taurus
Aug 23 - Sep 22,"August 29, 2022","If ever you were meant to solve a problem between family members or old, dear friends, this is the time. Fortunately, you're more than up for the challenge. And they'll be oh so glad to have your help.",Sagittarius,Helpful,Pink,88,8am,virgo
Dec 22 - Jan 19,"August 29, 2022","If you didn't pick up any travel brochures yesterday, or at least do a little online browsing for exotic locations, why not look into that today? You know you want to, and you're due for a break in the action.",Virgo,Relaxed,Gold,89,6pm,capricorn
May 21 - Jun 21,"August 29, 2022","Speaking of feelings, why stop yourself if you're ready to disclose them? Isn't it time you let the cat out of the bag and mentioned exactly what's on your mind? Sure it is. Bet your audience feels exactly the same.",Aries,Truthful,Pink,10,6pm,gemini
Sep 23 - Oct 22,"August 29, 2022","Jealousy is in the air, and it's up to you to stop it from going any further. Stay indifferent to anything that doesn't directly involve you. Let others create and live through their own melodramas. Watch from the sidelines.",Cancer,Generous,Peach,71,8pm,libra
Jan 20 - Feb 18,"August 29, 2022","You still can't decide whether you want to go out on a date, stay home with interesting friends and have another fascinating discussion, or settle down with that book you've been dying to crack open. What a decision!",Leo,Peaceful,Peach,11,10pm,aquarius
Jun 22 - Jul 22,"August 29, 2022","There are many ways to get close. The best way is to get to know someone so deeply that you're actually comfortable being silent around them -- unless, that is, there's a serious conversation to be had. Like now.",Libra,Serious,Silver,50,11am,cancer
Oct 23 - Nov 22,"August 29, 2022","See? After days of working so hard that you actually forgot to eat, you're suddenly going to relish the idea of leaving your job behind -- to spend time with someone for purely non-professional reasons. Oh, relax. It's well earned.",Virgo,Relaxed,Teal,69,1am,scorpio
Feb 19 - Mar 20,"August 29, 2022","Better get all that hibernating out of your system while you can, because around dinnertime, you'll be struck by the urge to get out there and strut your stuff. Enjoy it tonight, and for the next three evenings. What a weekend!",Aries,Innocent,Yellow,91,5pm,pisces
Mar 21 - Apr 20,"August 31, 2022","Listen up, because this is an important time for you, relationship-wise. What's already in place will become deeper, what's casual will become deeper and what hasn't happened yet will come about -- and then quickly grow deeper. Any questions?",Virgo,Loved,Red,56,6pm,aries
Jul 23 - Aug 22,"August 31, 2022","Still trying to get a hold of someone, but not having much success? Well, not to worry. It's definitely not just you.  And we're all having those problems. You, though -- you need to careful with your finances.",Sagittarius,Cautious,Navy Blue,5,8pm,leo
Nov 23 - Dec 21,"August 31, 2022","Feeling stuck? Trapped? Like you're in a rut you just can't get out of? Well, give it a day or two. At the latest, you can bet you won't be feeling that way anymore.",Cancer,Hopeful,Orange,65,6am,sagittarius
Apr 21 - May 20,"August 31, 2022","You're well rested and ready to play. Your sweetheart may not be feeling quite so energetic, however, so offer to take an evening off from dragging them around until all hours. Say you'll see them tomorrow. They might not mind.",Capricorn,Thoughtful,Teal,44,5pm,taurus
